"abbrev","category","term","p.value","adj.p.value","p.fdr"
"CEA","STR","Cocaine1d",0.0890845452642789,0.0797068151032014,0.171056198704623
"CL","TH","Cocaine1d",0.501252864129321,0.385676632477709,0.4575418434984
"CLA","CTXsp","Cocaine1d",0.490855852114903,0.378808437557854,0.455046613670126
"CLI","MB","Cocaine1d",0.406805682999329,0.904093814695106,0.920970232569414
"CM","TH","Cocaine1d",0.430897938900334,0.903919115041061,0.920970232569414
"COAa","OLF","Cocaine1d",0.203325369527983,0.172492521412655,0.26402524042053
"COAp","OLF","Cocaine1d",0.00638191558861157,0.00616039194354312,0.0692138153656903
"CP","STR","Cocaine1d",0.0679750955718272,0.0616106013138544,0.15550333730719
"CS","P","Cocaine1d",0.507341284168602,0.381413784854017,0.455312705669483
"CUN","MB","Cocaine1d",0.143274251208057,0.125630631826238,0.218140460716468
"DG-mo","HPF","Cocaine1d",0.0237056665484772,0.0222875026227459,0.109792474142287
"DG-po","HPF","Cocaine1d",0.240612288996933,0.201228448567551,0.296792538041717
"DG-sg","HPF","Cocaine1d",0.0720976286917256,0.0651730006368531,0.156053593107797
"DMH","HY","Cocaine1d",0.00622627204654616,0.00593841943677698,0.0687417037832971
"DP","OLF","Cocaine1d",0.625255540131176,0.833506152852075,0.862870868264207
"DTN","P","Cocaine1d",0.195552134558471,0.164871345073291,0.256019730967468
"ECT1","CTXpl","Cocaine1d",0.034466690924895,0.032051745857687,0.123919013739161
"ECT2/3","CTXpl","Cocaine1d",0.0910117750711807,0.0813438902190465,0.172629811464865
"ECT5","CTXpl","Cocaine1d",0.0445769551311077,0.0410948384057372,0.131917884630182
"ECT6a","CTXpl","Cocaine1d",0.0638924175062843,0.0580683563707567,0.1529800836802
"ECT6b","CTXpl","Cocaine1d",0.0682783056196408,0.0618756734834892,0.15550333730719
"ENTl","HPF","Cocaine1d",0.0264079892426019,0.0247549358724469,0.11532177443018
"ENTm","HPF","Cocaine1d",0.246786163247447,0.205928778720411,0.300199272193821
"ENTmv","HPF","Cocaine1d",0.00550470869425812,0.00532488235858075,0.065616292289608
"Epd","CTXsp","Cocaine1d",0.146858394589547,0.127602776818053,0.219164845969872
"Epv","CTXsp","Cocaine1d",0.0130529117744707,0.0124443195650868,0.0819608633424685
"FC","HPF","Cocaine1d",0.0906532249507596,0.0823175917489681,0.172960016684894
"FF","HY","Cocaine1d",0.070291921680887,0.0636157384564112,0.156053593107797
"FRP1","CTXpl","Cocaine1d",0.199026803256551,0.170454235940066,0.262554508585102
"FRP2/3","CTXpl","Cocaine1d",0.206744698810511,0.176523379804969,0.267587028117056
"FS","STR","Cocaine1d",0.00977806511105372,0.00937347802000854,0.0745972625759013
"GPe","PAL","Cocaine1d",0.0557882533260244,0.0509913209773289,0.142180179659414
"GPi","PAL","Cocaine1d",0.216776110795645,0.182939151492705,0.271917338016395
"GU1","CTXpl","Cocaine1d",0.0230155610816002,0.0216563032165906,0.108851418799179
"GU2/3","CTXpl","Cocaine1d",0.135957682145226,0.11873380068252,0.214747938259825
"GU4","CTXpl","Cocaine1d",0.0658817408145421,0.0597975278595139,0.154200981752645
"GU5","CTXpl","Cocaine1d",0.114565196791626,0.101105465056098,0.195885823429776
"GU6a","CTXpl","Cocaine1d",0.118208818353154,0.104128359008449,0.198885165706138
"GU6b","CTXpl","Cocaine1d",0.0420961810480338,0.0388871221504742,0.129172875317227
"IA","STR","Cocaine1d",0.00669470983866591,0.00645772598494898,0.0704814664643003
"IAD","TH","Cocaine1d",0.947115637619055,0.639814867187731,0.677318350982357
"IC","MB","Cocaine1d",0.456672141155071,0.355962134348806,0.431674715305536
"IGL","TH","Cocaine1d",0.621683137191355,0.462495844852002,0.528962313573248
"ILA2/3","CTXpl","Cocaine1d",0.0334780107399506,0.997355813720318,0.99997354551486
"ILA5","CTXpl","Cocaine1d",0.502121394332816,0.878983537337814,0.900192255396904
"ILA6a","CTXpl","Cocaine1d",0.636879047141977,0.471846618650851,0.536444667632812
"ILA6b","CTXpl","Cocaine1d",0.139307307800399,0.119873579222864,0.214816456227718
"INC","MB","Cocaine1d",0.788886171931166,0.55071854151205,0.601069951021723
"IPN","MB","Cocaine1d",0.580464152216385,0.427712841568443,0.496614910270959
"IV","MB","Cocaine1d",0.706194497671678,0.507205850768259,0.561601840560796
"LA","CTXsp","Cocaine1d",0.152647801278895,0.132286760060856,0.222614723979062
"LD","TH","Cocaine1d",0.948462934387765,0.699009987275596,0.733576415217795
"LDT","P","Cocaine1d",0.425447434396258,0.332953048335621,0.411611859107466
"LGd","TH","Cocaine1d",0.280403160475803,0.231182234980252,0.316529081585865
"LGv","TH","Cocaine1d",0.159580731658564,0.137871457108777,0.227077478911323
"LH","TH","Cocaine1d",0.78507966324718,0.552506377411273,0.601303236954719
"LHA","HY","Cocaine1d",0.00753352249351506,0.00725356926349841,0.070540310733732
"LM","HY","Cocaine1d",0.247196441485169,0.203415251913132,0.297780373991106
"LP","TH","Cocaine1d",0.349290816499593,0.281415904470618,0.363178633472216
"LPO","HY","Cocaine1d",0.047681093249998,0.0438472159641459,0.137036660886491
"LSc","STR","Cocaine1d",0.425147925298189,0.329987214890244,0.409269857428809
"LSr","STR","Cocaine1d",0.805485616534349,0.563919808897838,0.610247498580664
"LSv","STR","Cocaine1d",0.311712955930036,0.250763607426341,0.334936007121896
"LT","MB","Cocaine1d",0.535958154191157,0.396331764408268,0.46441329449067
