"abbrev","category","term","p.value","adj.p.value","p.fdr"
"CL","TH","Sugar1d",0.436212300526987,0.346203015572929,0.394774781936893
"CLA","CTXsp","Sugar1d",0.188187309491124,0.160904510920014,0.219519725612305
"CLI","MB","Sugar1d",0.607820557987447,0.851287999518842,0.855768462674204
"CM","TH","Sugar1d",0.72269275810426,0.534884938986036,0.566000129342564
"COAa","OLF","Sugar1d",0.000846850537648822,0.000836690685128927,0.0141144834623669
"COAp","OLF","Sugar1d",0.00566368869069651,0.00548135384363135,0.0400928188392116
"CP","STR","Sugar1d",0.140668477764047,0.122778871585312,0.181788871882129
"CS","P","Sugar1d",0.679377810141869,0.504652308022427,0.535492171290465
"CUN","MB","Sugar1d",0.00324055956597893,0.00315772029734818,0.0309294654765898
"DG-mo","HPF","Sugar1d",8.08464097922132e-05,8.03814992971219e-05,0.00279143024831823
"DG-po","HPF","Sugar1d",0.0762045245385012,0.0688155419308331,0.128860475576364
"DG-sg","HPF","Sugar1d",0.00704251895130674,0.00679425746731666,0.043256772541916
"DMH","HY","Sugar1d",0.0132463708817856,0.0127139306018915,0.0578181129752686
"DP","OLF","Sugar1d",0.0891454102040909,0.0806014856467808,0.137754484254427
"DTN","P","Sugar1d",0.987975639074267,0.6755687734344,0.697479112032273
"ECT1","CTXpl","Sugar1d",0.0230829307392469,0.0217437308476943,0.0762608087887659
"ECT2/3","CTXpl","Sugar1d",0.0464916635096652,0.0428552077110692,0.10471931587167
"ECT5","CTXpl","Sugar1d",0.0959423262931134,0.085651290124641,0.14223886098486
"ECT6a","CTXpl","Sugar1d",0.0264982715823069,0.02486879428291,0.0798309194627867
"ECT6b","CTXpl","Sugar1d",0.125206239719935,0.110094629483925,0.168900194629957
"ENTl","HPF","Sugar1d",0.0870821466049656,0.0781308463582101,0.136283028807472
"ENTm","HPF","Sugar1d",0.0594747902603683,0.0542988502314614,0.115786736496625
"ENTmv","HPF","Sugar1d",0.0320435691669885,0.0299069403229179,0.0887169020024923
"Epd","CTXsp","Sugar1d",0.0613218180474723,0.055913759208537,0.115786736496625
"Epv","CTXsp","Sugar1d",0.0334036219288553,0.0311361950599232,0.0904291725073237
"FC","HPF","Sugar1d",0.269424908603245,0.225659797512519,0.280157224242062
"FF","HY","Sugar1d",0.094010683468375,0.0847731748037845,0.14187818767045
"FRP1","CTXpl","Sugar1d",0.0608383786918103,0.0559572556885349,0.115786736496625
"FRP2/3","CTXpl","Sugar1d",0.265813238459731,0.222932189263837,0.278628460056175
"FS","STR","Sugar1d",0.00106139820311279,0.00104735037509596,0.0148180682698761
